,sku,Units,Lines,unitspercase
6232,SB21238767,40,18,72
6233,AB73057747,27,18,6
6234,YP04917610_f,26,18,21
6235,MP04773140,22,18,4
6236,YP04543640_f,26,18,21
6237,KB15193232,28,18,6
6238,MB88415358,18,18,24
6239,SP04668982,22,18,16
6240,MB86640769,21,18,24
6241,YP04572028_f,19,18,21
6242,SP04855937_f,18,18,21
6243,SB23716850,47,18,60
6244,AB71756668,35,18,21
6245,SP04811087_f,18,18,21
6246,SB21230105,36,18,100
6247,SB17963033,18,18,80
6248,MP04549039,22,18,12
6249,SP04862826,22,18,6
6250,SP04805517_f,18,18,21
6251,SP04762220_f,18,18,21
6252,SB27930470,22,18,25
6253,LP04865040,18,18,16
6254,SB21234981_f,48,18,21
6255,SP04664527_f,18,18,21
6256,MP04870687,26,18,4
6257,SP04810780,22,18,10
6258,LP04934400,18,18,4
6259,MB72108833,74,18,24
6260,MB64749695_f,77,18,21
6261,MB16199879_f,18,18,21
6262,LB17621731_f,78,18,21
6263,KP04918736,18,18,8
6264,SB26873949_f,18,18,21
6265,MB78256705,20,18,30
6266,AB73110752_f,72,18,21
6267,MB74520118_f,49,18,21
6268,AB86741532_f,29,18,21
6269,MB78260681_f,54,18,21
6270,SP04721239_f,18,18,21
6271,AB86741448_f,23,18,21
6272,MP04856366_f,18,18,21
6273,SP04732336,18,18,4
6274,SB21252468_f,18,18,21
6275,MB72097452,61,18,24
6276,LP04880579,27,18,6
6277,SP04800236_f,26,18,21
6278,SP04910365_f,22,18,21
6279,AB93105006,202,18,48
6280,KB16345034_f,39,18,21
6281,SB25133062_f,36,18,21
6282,AB92519363,72,18,6
6283,MP04856364,18,18,5
6284,AB67756410_f,26,18,21
6285,SB17965811_f,34,18,21
6286,SP04877953,18,18,15
6287,MP04503115_f,18,18,21
6288,MB65057137,101,18,100
6289,MB74521340,36,18,24
6290,SB27767601,39,18,60
6291,SP04911125_f,18,18,21
6292,LP04687191_f,22,18,21
6293,LB16703333_f,69,18,21
6294,SB26730969_f,18,18,21
6295,SB27621187,18,18,30
6296,AP04900250,18,18,2
6297,SP04870786_f,18,18,21
6298,SP04628910,18,18,10
6299,LB17868882,94,18,8
6300,SB27924745_f,18,18,21
6301,SB27925579_f,17,17,21
6302,SB28886727_f,17,17,21
6303,MB81330540_f,109,17,21
6304,SP04894144_f,17,17,21
6305,AP04642048,21,17,6
6306,MB93479897_f,37,17,21
6307,YB27663239_f,34,17,21
6308,SP04734445,21,17,20
6309,AB71246220_f,42,17,21
6310,SP04718347,17,17,50
6311,AB73113555_f,17,17,21
6312,LB17130303_f,44,17,21
6313,SP04935491,17,17,2
6314,SP04935493_f,21,17,21
6315,AB71602479,23,17,4
6316,AB86743514,17,17,6
6317,MB86643973_f,25,17,21
6318,AB68777579_f,17,17,21
6319,SP04863820_f,17,17,21
6320,MP04922394_f,17,17,21
6321,LB17868882_f,89,17,21
6322,MP04912001_f,17,17,21
6323,SP04862826_f,17,17,21
6324,SP04704353,21,17,10
6325,SP04600956_f,17,17,21
6326,MB74520794_f,52,17,21
6327,YP04713706,23,17,8
6328,SP04679226_f,17,17,21
6329,SB21250981,21,17,91
6330,SP04671112,17,17,4
6331,AB92947087_f,36,17,21
6332,AB93256340,48,17,144
6333,SP04769211,17,17,30
6334,AB70773671,17,17,21
6335,MP04926931,21,17,2
6336,SP04935490_f,17,17,21
6337,SP04913572_f,25,17,21
6338,AB74453955,17,17,10
6339,SP04903692_f,17,17,21
6340,MP04773137_f,17,17,21
6341,YP04852811,25,17,4
6342,AB71756561,27,17,21
6343,SB27618352_f,45,17,21
6344,AB73113733,22,17,20
6345,AB86743585,21,17,6
6346,AB92549838,21,17,18
6347,SP04855934_f,25,17,21
6348,YP04852808,17,17,4
6349,SB17962924,17,17,90
6350,SP04793023_f,17,17,21
6351,AB88717467_f,111,17,21
6352,SP04888572,21,17,9
6353,LB17476711,58,17,6
6354,SP04915569_f,21,17,21
6355,AB71586304,17,17,3
6356,LP04915411_f,17,17,21
6357,MB65830749,29,17,36
6358,MB72109340,76,17,24
6359,MP04911999,17,17,4
6360,LB17854375_f,22,17,21
6361,YP04922278_f,17,17,21
6362,AB92973844_f,64,17,21
6363,YP04938235,17,17,2
6364,SP04848794,17,17,2
6365,KB16174894,65,17,12
6366,SP04911124_f,17,17,21
6367,MP04904861_f,25,17,21
6368,SB27965487,33,17,33
6369,SP04583349,25,17,10
6370,KP04845394_f,21,17,21
6371,MB88415358_f,17,17,21
6372,LP04937899,25,17,6
6373,YB27741481,33,17,48
6374,LP04924292_f,17,17,21
6375,SP04915541,17,17,12
6376,SP04911125,17,17,12
6377,LB17589682_f,34,17,21
6378,MB72109049,72,17,24
6379,YP04797627_f,21,17,21
6380,SP04905618,25,17,21
6381,SP04793033,17,17,10
6382,SP04876782_f,25,17,21
6383,AB73110794_f,83,17,21
6384,MB81328523,116,17,76
6385,LB17303156_f,21,17,21
6386,MB66452375_f,42,17,21
6387,SB21466636,76,17,24
6388,SB22642307,34,17,21
6389,SB23696381,32,17,48
6390,SB27916041_f,43,17,21
6391,LB17955737_f,75,17,21
6392,KB15989954,33,17,24
6393,MB25310186_f,25,17,21
6394,MB68635556_f,29,17,21
6395,SB26873952_f,25,17,21
6396,SB27975309,25,17,25
6397,SP04875629_f,17,17,21
6398,LB17589682,33,17,120
6399,LB17726173,59,17,10
6400,KB16345034,37,17,24
6401,SB27924952_f,32,17,21
6402,MB77269971_f,44,17,21
6403,MB86639796,31,17,24
6404,LP04924292,17,17,4
6405,SB21230820,21,17,105
6406,AB80316633,48,17,24
6407,MB78260937_f,23,17,21
6408,LP04844419_f,33,17,21
6409,AP04929982_f,98,17,21
6410,LB17257587_f,34,17,21
6411,YB27663187_f,34,17,21
6412,MP04673473,17,17,4
6413,YP04747081,17,17,4
6414,AB84680051,73,17,12
6415,KP04871479_f,17,17,21
6416,MB64750260_f,120,17,21
6417,MP04911977_f,25,17,21
6418,SB28014230_f,21,17,21
6419,AB74421770,17,17,12
6420,SB26952187_f,34,17,21
6421,AB66296997,21,17,21
6422,MB44515056,20,17,21
6423,MB68280781_f,39,17,21
6424,MP04904859,21,17,4
6425,YP04797640,17,17,10
6426,AP04894318,54,17,12
6427,KP04862552,17,17,4
6428,LB17791823,76,17,12
6429,SB23716973_f,66,17,21
6430,LB17476698,50,17,6
6431,SP04835080,21,17,30
6432,MB89979408_f,68,17,21
6433,AB79463681_f,34,17,21
6434,MB88415808,17,17,24
6435,SP04920918_f,21,17,21
6436,SB28274449_f,25,17,21
6437,AB70773723,21,17,21
6438,MP04911999_f,17,17,21
6439,SP04863819_f,17,17,21
6440,LP04915413,17,17,4
6441,AB71586304_f,17,17,21
6442,SP04883977,21,17,2
6443,SP04903690,21,17,4
6444,SB22641670,20,17,21
6445,SP04884759_f,17,17,21
6446,SP04800010_f,17,17,21
6447,AB72046568,45,17,21
6448,AB84585703_f,103,17,21
6449,YB26054043_f,30,17,21
6450,MP04704872,26,17,10
6451,YP04852809_f,17,17,21
6452,SB27930506_f,34,17,21
6453,MB93684556_f,17,17,21
6454,YP04913539,25,17,4
6455,MP04864957_f,17,17,21
6456,SB28265775,22,17,21
6457,MB25794919_f,58,17,21
6458,LB16013502_f,19,17,21
6459,YB26791704_f,29,17,21
6460,MB25309540_f,36,17,21
6461,LP04880577_f,17,17,21
6462,AB93163611_f,21,17,21
6463,AP04642048_f,25,17,21
6464,SB22847319,34,17,72
6465,SP04911123,17,17,12
6466,SP04884759,17,17,2
6467,AB72577286_f,90,17,21
6468,YP04887672_f,17,17,21
6469,MB86238935,34,17,6
6470,SP04805259_f,17,17,21
6471,AB65672512,20,17,21
6472,SP04810163,17,17,10
6473,YP04916619_f,17,17,21
6474,SB27970663,21,17,30
6475,AB76600269,67,17,12
6476,LB17559010_f,86,17,21
6477,AB85135385,86,17,24
6478,SB28886714_f,17,17,21
6479,MB88415109,18,17,24
6480,SP04898279_f,17,17,21
6481,LB17613613,67,17,12
6482,LP04844419,25,17,6
6483,AP04846797_f,174,17,21
6484,MP04904862_f,29,17,21
6485,YP04831691,21,17,8
6486,YP04921095_f,18,17,21
6487,LB17783093,90,17,8
6488,SB27970252,17,17,30
6489,SB28013833_f,17,17,21
6490,MP04911998_f,17,17,21
6491,MP04912020,17,17,4
6492,AB92807004,17,17,12
6493,YP04887672,17,17,4
6494,MP04864957,17,17,2
6495,SB23716850_f,45,17,21
6496,SP04734442_f,17,17,21
6497,SB21232899_f,21,17,21
6498,SP04877444_f,25,17,21
6499,LB17657459_f,22,17,21
6500,SB17967000,36,17,100
6501,SP04913468,25,17,2
6502,MP04911973,17,17,4
6503,AB93105365_f,218,17,21
6504,MB70560004,93,17,36
6505,SB25484614,17,17,60
6506,MB78259825,20,17,20
6507,MB59815903,17,17,28
6508,AB87248801_f,105,17,21
6509,SB21238097_f,34,17,21
6510,MB78261208,34,17,27
6511,SP04903500,17,17,3
6512,AB67756847_f,29,17,21
6513,SP04807043_f,17,17,21
6514,SP04890878_f,21,17,21
6515,AB70773749,21,17,21
6516,AB68459185_f,50,17,21
6517,AP04493744_f,17,17,21
6518,SP04915541_f,17,17,21
6519,MB86644134_f,29,17,21
6520,SB27621190,17,17,30
6521,LP04871368,21,17,4
6522,LP04844418_f,17,17,21
6523,YP04703887,17,17,12
6524,YP04574141,17,17,21
6525,AB90544990,72,17,6
6526,MB80340719_f,61,17,21
6527,SB27970715,17,17,30
6528,YP04797630,25,17,4
6529,LB16801293_f,33,17,21
6530,LB16703333,59,17,12
6531,MP04900691_f,17,17,21
6532,SB28536938_f,25,17,21
6533,AB74421518,30,17,12
6534,YP04938238,17,17,2
6535,LB16459441_f,46,17,21
6536,SP04732336_f,17,17,21
6537,YB28483939,18,17,50
6538,AB71602534_f,19,17,21
6539,YP04797630_f,29,17,21
6540,AB93361028_f,116,17,21
6541,AB78727975_f,119,17,21
6542,SB28014227,17,17,25
6543,MB95045627_f,26,17,21
6544,YP04852856,25,17,4
6545,AB71357041_f,42,17,21
6546,MB77673350_f,24,17,21
6547,MB74520833,45,17,24
6548,LP04880580_f,24,17,21
6549,MB74520480,47,17,24
6550,YP04903294,29,17,2
6551,SP04935108_f,25,17,21
6552,SB27916038_f,43,17,21
6553,SP04800007_f,17,17,21
6554,AB93360812_f,143,17,21
6555,MB88415581_f,21,17,21
6556,SB26874045_f,21,17,21
6557,LB16205307_f,20,17,21
6558,MP04878237,17,17,4
6559,LB17783158,85,17,8
6560,AB73057365_f,17,17,21
6561,AB81406539_f,21,17,21
6562,LB17990802_f,34,17,21
6563,SP04888515,25,17,15
6564,LB18107115,66,17,12
6565,SB23794513_f,28,17,21
6566,SB28605160_f,34,17,21
6567,LB17829203_f,23,17,21
6568,AB71602440_f,25,17,21
6569,SP04847342_f,25,17,21
6570,LB17476614_f,43,17,21
6571,AB93606275,58,17,12
6572,MB78260856,32,17,30
6573,KP04780046_f,17,17,21
6574,SP04671112_f,17,17,21
6575,MP04926931_f,17,17,21
6576,MP04900742,17,17,4
6577,MB81330540,114,17,66
6578,LB17313120_f,48,17,21
6579,YP04917607_f,17,17,21
6580,SP04899779_f,25,17,21
6581,SB26952310,21,17,25
6582,MB25322938,20,17,25
6583,SB14739121_f,31,17,21
6584,YP04852838_f,17,17,21
6585,SB27975419,21,17,18
6586,SB27970663_f,21,17,21
6587,SB28400530,17,17,21
6588,AB78900488_f,46,17,21
6589,SB23697539,36,17,48
6590,LB17657352_f,26,17,21
6591,AB68405647_f,17,17,21
6592,MB72108532,68,17,24
6593,MB24775379,20,17,24
6594,SB28014269_f,25,17,21
6595,SB25133237,21,17,36
6596,LB16528783,40,17,6
6597,LB17403386_f,64,17,21
6598,AB74187195_f,48,17,21
6599,SP04855934,25,17,4
6600,LP04844418,17,17,6
6601,LB17603209,24,17,8
6602,SB28191043_f,20,17,21
6603,SP04931364_f,17,17,21
6604,MB86643876_f,25,17,21
6605,YP04917535,21,17,4
6606,LB17265883,21,17,8
6607,LB17783336,85,17,8
6608,MP04496594_f,20,17,21
6609,MB65027688_f,18,17,21
6610,MB70532951_f,71,17,21
6611,LB17129550,67,17,20
6612,SB28269467,17,17,16
6613,MB65057137_f,92,16,21
6614,SB17964715_f,16,16,21
6615,MB61367012_f,32,16,21
6616,KP04871480,20,16,4
6617,AB73515836,35,16,12
6618,AB93525631,28,16,15
6619,SP04668984_f,32,16,21
6620,KB15237295_f,28,16,21
6621,YP04734545,20,16,4
6622,MB84557993,71,16,32
6623,SB25484436,16,16,84
6624,AB92549333_f,36,16,21
6625,AB93166100,23,16,6
6626,AB68405650,28,16,21
6627,SP04807044,16,16,8
6628,YB26255842_f,36,16,21
6629,LP04685409_f,28,16,21
6630,YP04802804_f,16,16,21
6631,LB17613613_f,62,16,21
6632,SP04810780_f,16,16,21
6633,YP04916674_f,32,16,21
6634,SB28270540,16,16,10
6635,AB87684669_f,44,16,21
6636,YP04543634_f,24,16,21
6637,SP04906777_f,24,16,21
6638,LP04900416,16,16,6
6639,SP04892131,16,16,4
6640,AB93167769_f,20,16,21
6641,SB21244913,32,16,72
6642,AB75898894_f,33,16,21
6643,MP04713910,16,16,8
6644,SB27997167,49,16,25
6645,SP04772463,16,16,12
6646,SB23716591,43,16,60
6647,SP04734441_f,16,16,21
6648,SB22244815_f,34,16,21
6649,YP04852833_f,16,16,21
6650,AB75898674_f,32,16,21
6651,YP04572024,16,16,8
6652,SP04772166_f,16,16,21
6653,AP04535660,20,16,3
6654,AB84024125,97,16,36
6655,MP04773141_f,16,16,21
6656,KP04920206,23,16,3
6657,SP04920920_f,16,16,21
6658,MB78260856_f,23,16,21
6659,YP04611676,16,16,24
6660,MB24774671_f,25,16,21
6661,MB44514989_f,26,16,21
6662,LB17871549_f,76,16,21
6663,MB78318326,43,16,28
6664,SP04863816_f,16,16,21
6665,LB18075632,62,16,6
6666,AB65672130,36,16,21
6667,AB85990656,40,16,24
6668,SB26952116,36,16,32
6669,MP04900722,20,16,4
6670,LB16459085,28,16,6
6671,SP04812262_f,16,16,21
6672,LB18107131,73,16,12
6673,SP04825555,20,16,2
6674,AB75367914_f,31,16,21
6675,SP04656894_f,18,16,21
6676,YP04572020_f,19,16,21
6677,AB79522014,116,16,12
6678,MP04900723_f,16,16,21
6679,AB72046542,29,16,9
6680,SP04888572_f,16,16,21
6681,SP04805259,20,16,9
6682,SB17967424,16,16,25
6683,SB26731531_f,20,16,21
6684,SP04801384_f,16,16,21
6685,KP04935651,20,16,9
6686,MP04856365_f,16,16,21
6687,MB81564523,24,16,24
6688,MB54518674_f,136,16,21
6689,AB66296777,19,16,21
6690,AP04535660_f,20,16,21
6691,LB15299990_f,41,16,21
6692,SB28191027_f,27,16,21
6693,AB93523756_f,29,16,21
6694,AB92310135,24,16,6
6695,SP04867381_f,16,16,21
6696,SB14739118,16,16,21
6697,MP04885763_f,16,16,21
6698,SP04785787_f,22,16,21
6699,MB98096615_f,55,16,21
6700,SP04729966,16,16,2
6701,SB21242805_f,16,16,21
6702,SB27610389_f,16,16,21
6703,SP04936687_f,16,16,21
6704,AB74187179,31,16,12
6705,SB27925647_f,16,16,21
6706,SP04934781,16,16,2
6707,SP04840707_f,20,16,21
6708,SB28013736_f,34,16,21
6709,MP04900693,16,16,4
6710,KP04843645_f,16,16,21
6711,SP04859268,16,16,8
6712,SP04809872_f,16,16,21
6713,AB72167683,25,16,6
6714,AB68405647,16,16,21
6715,AB72655975_f,32,16,21
6716,SP04926971,16,16,4
6717,SP04888513,16,16,10
6718,MP04856371,16,16,5
6719,MB72111118_f,58,16,21
6720,YP04797628_f,16,16,21
6721,MB74279427,35,16,45
6722,LP04744643,16,16,2
6723,KB15989598,39,16,6
6724,AP04897370_f,32,16,21
6725,AB68777595_f,17,16,21
6726,SP04848794_f,16,16,21
6727,LP04915416,16,16,4
6728,AB92551295,20,16,12
6729,SP04656894,17,16,34
6730,MB78254684_f,32,16,21
6731,AB86743637_f,22,16,21
6732,MB25308389,22,16,46
6733,SB17962775_f,30,16,21
6734,LB17965620,66,16,72
6735,YP04917603,16,16,4
6736,LP04736447_f,20,16,21
6737,AB93360854_f,91,16,21
6738,SB28269535,29,16,36
6739,AP04581388,17,16,36
6740,SB27970294_f,16,16,21
6741,MB68280668_f,29,16,21
6742,SP04702134,24,16,10
6743,YB26255855_f,25,16,21
6744,MB78260937,26,16,28
6745,MP04922397,15,16,2
6746,AB74379152_f,34,16,21
6747,YP04913542,24,16,4
6748,AP04581372,44,16,48
6749,MB73485746_f,73,16,21
6750,SB26042660,21,16,30
6751,AP04911768_f,16,16,21
6752,SB21231382,32,16,101
6753,LB17657459,20,16,12
6754,AB91672722_f,38,16,21
6755,LB17925770_f,32,16,21
6756,SB21235362,16,16,72
6757,SP04935497_f,16,16,21
6758,AB81406623,27,16,12
6759,KB16340479_f,38,16,21
6760,SB22847092_f,16,16,21
6761,AP04581410,26,16,12
6762,SP04706159,16,16,10
6763,SP04734470,16,16,20
6764,SP04856969_f,16,16,21
6765,AB93570631_f,28,16,21
6766,SP04889546_f,16,16,21
6767,MP04911978_f,16,16,21
6768,MP04904861,24,16,4
6769,KB15533960,28,16,3
6770,MP04549039_f,16,16,21
6771,SP04888515_f,20,16,21
6772,MB75917283,16,16,18
6773,YP04938246,24,16,2
6774,AB86586328,85,16,12
6775,KP04862550_f,20,16,21
6776,AB73112381_f,17,16,21
6777,SP04867331,27,16,40
6778,AB92842399_f,29,16,21
6779,SP04656892_f,18,16,21
6780,MB89981975_f,67,16,21
6781,SP04889543,16,16,12
6782,SB28605199_f,16,16,21
6783,KB16174933,21,16,3
6784,MP04875176_f,16,16,21
6785,LP04915417_f,16,16,21
6786,YP04847649,20,16,4
6787,KB16015115,38,16,24
6788,MP04900722_f,20,16,21
6789,YP04747085_f,16,16,21
6790,MP04824422,16,16,4
6791,SP04926538_f,16,16,21
6792,MP04773140_f,20,16,21
6793,SP04734445_f,24,16,21
6794,AB74512469_f,16,16,21
6795,SB25133253,16,16,36
6796,LB18107115_f,63,16,21
6797,AB92806348_f,27,16,21
6798,SB27925647,16,16,22
6799,SP04702133,16,16,10
6800,MP04637690,31,16,6
6801,AB80705037,59,16,24
6802,SB27997109,40,16,18
6803,AP04581388_f,18,16,21
6804,AB72167735,25,16,6
6805,MB66080721_f,17,16,21
6806,MP04864960_f,28,16,21
6807,SB21506402,30,16,34
6808,SP04889136,16,16,15
6809,SP04791462_f,20,16,21
6810,MP04641999_f,16,16,21
6811,SP04813519,20,16,10
6812,SP04661372,16,16,16
6813,SP04476741_f,16,16,21
6814,AB92959143_f,67,16,21
6815,LP04894039,16,16,12
6816,YP04900481_f,16,16,21
6817,MP04864956,20,16,2
6818,SB28014227_f,16,16,21
6819,YP04847675_f,16,16,21
6820,YP04852835_f,16,16,21
6821,LB17731430_f,20,16,21
6822,SP04899868_f,16,16,21
6823,SP04754739_f,16,16,21
6824,AB85135327_f,102,16,21
6825,LP04880577,16,16,6
6826,MB78257199_f,34,16,21
6827,MP04922397_f,13,16,21
6828,SB21245271_f,31,16,21
6829,YP04734535,16,16,4
6830,MB71646325,21,16,23
6831,AB93579535_f,56,16,21
6832,SB28013820_f,16,16,21
6833,MB81564523_f,24,16,21
6834,SP04702131,20,16,10
6835,SP04875636_f,16,16,21
6836,SP04671110,20,16,4
6837,SB25484436_f,16,16,21
6838,YB26051062_f,20,16,21
6839,SB26952051_f,36,16,21
6840,YP04887675_f,16,16,21
6841,SP04671308_f,32,16,21
6842,YP04761815_f,16,16,21
6843,AB80705150_f,88,16,21
6844,MP04913710_f,16,16,21
6845,LB17621731,67,16,36
6846,SP04785814,20,16,10
6847,AB74512485_f,16,16,21
6848,AB71357038,34,16,12
6849,SP04768764,16,16,10
6850,AB93164186,17,16,6
6851,AB72325315_f,22,16,21
6852,MB81328989,105,16,52
6853,MB78256682_f,16,16,21
6854,AB74453968_f,16,16,21
6855,SP04913523,20,16,2
6856,SP04800003_f,16,16,21
6857,AB85990656_f,36,16,21
6858,SP04899781,20,16,15
6859,SB22642297_f,33,16,21
6860,SB22244802_f,29,16,21
6861,KP04866577,20,16,16
6862,SP04852450,17,16,24
6863,MP04616726_f,16,16,21
6864,LB16336784_f,20,16,21
6865,AB92550982_f,31,16,21
6866,MP04704872_f,31,16,21
6867,SB28269085_f,32,16,21
6868,LP04920895_f,16,16,21
6869,SB26731531,20,16,13
6870,LP04900408,16,16,4
6871,MB77269735,26,16,48
6872,SP04913565_f,16,16,21
6873,MB25322750,20,16,36
6874,MB25751716_f,21,16,21
6875,MB77269971,37,16,48
6876,MP04673476_f,16,16,21
6877,SP04926538,16,16,2
6878,YP04802796_f,16,16,21
6879,SB25841451_f,20,16,21
6880,YP04572024_f,16,16,21
6881,LB17363358_f,47,16,21
6882,SP04883977_f,32,16,21
6883,AB85990672_f,32,16,21
6884,AB73113681_f,22,16,21
6885,MP04911998,16,16,4
6886,AB91672748,28,16,6
6887,SP04800003,16,16,19
6888,SP04881340,20,16,2
6889,AB93256052_f,35,16,21
6890,SB27610402,29,16,25
6891,SP04867331_f,25,16,21
6892,KP04922211_f,23,16,21
6893,AB93256340_f,60,16,21
6894,AB93360854,106,16,36
6895,MB84050335,20,16,24
6896,AB80325996,44,16,72
6897,MP04875173,20,16,2
6898,MB78256682,16,16,26
6899,AB93606301_f,33,16,21
6900,MP04913710,16,16,4
6901,KP04845393,16,16,2
6902,AB73113432_f,19,16,21
6903,YP04747081_f,16,16,21
6904,MB65497580,38,16,18
6905,AB79521989,97,16,12
6906,SP04695585,16,16,2
6907,SP04762039,20,16,6
6908,MB81565412_f,17,16,21
6909,SP04572744_f,24,16,21
6910,MP04904859_f,16,16,21
6911,MB16187409,16,16,72
6912,SB21251469_f,32,16,21
6913,AB74421534,44,16,12
6914,SB27925731_f,24,16,21
6915,SP04867381,16,16,4
6916,AB72577286,88,16,72
6917,MB89979466_f,64,16,21
6918,MB72111095_f,54,16,21
6919,AB92946952_f,40,16,21
6920,AB72035689,20,16,4
6921,MB81564293,20,16,26
6922,YP04913575,28,16,2
6923,SB28013710_f,16,16,21
6924,LB17445784,38,16,48
6925,SP04768764_f,16,16,21
6926,SB28014007,28,16,25
6927,AB92519305,64,16,6
6928,MB73485937_f,77,16,21
6929,LP04921152,15,15,3
6930,LB16988860_f,34,15,21
6931,AB85990627,30,15,24
6932,AB68777689,15,15,12
6933,MB84054920_f,15,15,21
6934,MB87014750_f,15,15,21
6935,SP04625585_f,34,15,21
6936,MB74521094,19,15,20
6937,YP04703887_f,15,15,21
6938,LB17130303,51,15,8
6939,AP04535653,15,15,21
6940,SB27916025,21,15,40
6941,AB73110736_f,88,15,21
6942,KP04862552_f,15,15,21
6943,MB59816287,15,15,27
6944,SP04877944,15,15,18
6945,SP04863816,15,15,2
6946,MB81328824,104,15,60
6947,SB23696226_f,27,15,21
6948,LB17814865,48,15,6
6949,LP04937899_f,23,15,21
6950,SB27945012,15,15,25
6951,MB64749695,77,15,30
6952,SB27049594_f,30,15,21
6953,SB28790538,28,15,72
6954,YB26849148_f,85,15,21
6955,MB86640439_f,30,15,21
6956,KP04855422_f,27,15,21
6957,LB16490620,42,15,8
6958,MB86238935_f,30,15,21
6959,YP04922229_f,23,15,21
6960,SP04889136_f,15,15,21
6961,SP04732334_f,15,15,21
6962,LP04894039_f,15,15,21
6963,SB28168144_f,29,15,21
6964,AP04929999_f,32,15,21
6965,SB28013082,15,15,30
6966,AB93167387,16,15,6
6967,SB25132995_f,38,15,21
6968,SB17965882,25,15,53
6969,SB21237629_f,46,15,21
6970,MB86642314,30,15,24
6971,LB17346359,46,15,6
6972,AB93523659,21,15,11
6973,SB28886730,19,15,31
6974,LB17265883_f,19,15,21
6975,SB28014256,33,15,25
6976,YP04802791,18,15,4
6977,SB27997112,56,15,18
6978,SP04825558_f,15,15,21
6979,LB16989034_f,34,15,21
6980,AB72035757_f,15,15,21
6981,MB80341912_f,75,15,21
6982,SP04903502,15,15,3
6983,SB28265856,15,15,21
6984,AB65672143,15,15,21
6985,SP04913469,15,15,2
6986,SP04863817_f,15,15,21
6987,SB21244913_f,30,15,21
6988,SB27767724,18,15,60
6989,MB77673651_f,32,15,21
6990,SP04848806,15,15,2
6991,AB93256052,33,15,24
6992,LP04921186_f,23,15,21
6993,SB27610376,23,15,25
6994,SP04875641_f,15,15,21
6995,AB93105161_f,252,15,21
6996,SB21232417_f,30,15,21
6997,KP04922212_f,32,15,21
6998,AB92806322,30,15,12
6999,MB16202698,29,15,72
7000,KB16240032_f,30,15,21
7001,SB28137890_f,30,15,21
7002,SP04890875,15,15,6
7003,AB84119946,15,15,12
7004,MB81328989_f,92,15,21
7005,MB25324826_f,15,15,21
7006,MB72109382_f,60,15,21
7007,AB66296777_f,15,15,21
7008,AB69165339_f,38,15,21
7009,MB62739319,72,15,21
7010,MP04604561,19,15,4
7011,SP04793033_f,15,15,21
7012,SB22847173,34,15,84
7013,MB93486466,30,15,48
7014,KP04866576,19,15,16
7015,LB16013641_f,15,15,21
7016,SP04664528_f,15,15,21
7017,YP04831691_f,18,15,21
7018,MB74520574_f,29,15,21
7019,MP04129038_f,18,15,21
7020,AB93256133,48,15,24
7021,YP04705258_f,15,15,21
7022,SB28013749,15,15,30
7023,SB22641670_f,16,15,21
7024,LB17490959,31,15,6
7025,AB80325404_f,30,15,21
7026,SB28269548,30,15,34
7027,SB23696381_f,29,15,21
7028,AB72577503,89,15,72
7029,YP04922232,15,15,2
7030,AB93256023,62,15,144
7031,SB21233377_f,34,15,21
7032,SP04900837_f,15,15,21
7033,SB27610415_f,15,15,21
7034,AB71577151,19,15,3
7035,SP04528646,19,15,10
7036,MB89979673_f,60,15,21
7037,MB93684556,15,15,72
7038,MB61367481,34,15,36
7039,AB86741406,20,15,6
7040,MP04900694_f,15,15,21
7041,YP04572030_f,15,15,21
7042,SB28013794_f,15,15,21
7043,AP04900251,15,15,2
7044,YB28178383_f,58,15,21
7045,AB92519363_f,60,15,21
7046,LP04521516,15,15,21
7047,MB65966118_f,54,15,21
7048,AB91535649_f,58,15,21
7049,SP04892949,19,15,2
7050,MP04704718,53,15,10
7051,SP04825555_f,19,15,21
7052,YP04922843,30,15,4
7053,SP04809577,15,15,25
7054,LP04675735_f,15,15,21
7055,KP04908137_f,15,15,21
7056,SB22642323,23,15,21
7057,MB77672982_f,18,15,21
7058,KB16185731_f,60,15,21
7059,SB24216702,19,15,20
7060,SP04895435_f,19,15,21
7061,MP04885849_f,15,15,21
7062,AB72035731_f,26,15,21
7063,LB17854391_f,30,15,21
7064,AB74187218_f,15,15,21
7065,MB79573050,45,15,48
7066,AB72962134_f,39,15,21
7067,SB22847047_f,29,15,21
7068,AB65672486,29,15,21
7069,MP04904862,23,15,4
7070,AB72046526_f,15,15,21
7071,KB16185579,63,15,12
7072,KB16185553_f,63,15,21
7073,YP04887676_f,15,15,21
7074,SB21234185_f,30,15,21
7075,LB16013191,20,15,4
7076,SB17963033_f,15,15,21
7077,SP04805471_f,15,15,21
7078,SP04668986_f,15,15,21
7079,AB92079256_f,91,15,21
7080,YP04847697,15,15,30
7081,LP04900406,15,15,4
7082,SB28168131,20,15,100
7083,MB72109324,55,15,24
7084,LP04921172,24,15,3
7085,LB17783077,60,15,8
7086,SP04901610,15,15,4
7087,SB24348230_f,25,15,21
7088,LB16013641,15,15,4
7089,SB21235540_f,30,15,21
7090,YP04797605_f,15,15,21
7091,MB44514976_f,21,15,21
7092,AB68777689_f,15,15,21
7093,SP04706160,19,15,10
7094,YP04747083,27,15,4
7095,SB21237467_f,15,15,21
7096,SP04793027,19,15,15
7097,AB92550982,27,15,12
7098,SB27621310_f,23,15,21
7099,YB27663174,34,15,36
7100,KP04843640_f,15,15,21
7101,SB21235281_f,19,15,21
